Time,Source,Destination,Protocol,Length,ICMP Type,ICMP Code,Traffic Rate,Packet Interval
1740599764.979213,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.981149,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.983217,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.985826,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.987783,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.989725,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.991619,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.993615,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.995621,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599764.997491,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599764.999405,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.000967,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.003216,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.005183,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.007823,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.009055,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.011802,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.013861,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.016743,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.017952,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.020603,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.020638,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.022627,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.023281,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.025395,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.025781,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.028275,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.028292,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.030515,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.030751,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.032795,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.034974,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.037266,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.03877,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.041463,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.042546,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.045265,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.04527,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.047492,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.04777,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.049837,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.051111,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.053327,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.053702,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.055514,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.057706,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.057816,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.059714,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.060417,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.061313,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.063155,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.063326,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.065009,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.065589,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.067231,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.067609,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.069439,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.070067,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.07268,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.074973,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.077892,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.080108,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.082445,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.085076,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.0873,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.090063,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.092299,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.094741,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.097229,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.099641,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.099861,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.101313,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.101952,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.102477,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.102532,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.103572,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.10406,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.104517,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.105161,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.105209,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.106102,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.106536,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.107113,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.107912,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.108043,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.108667,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.109098,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.109579,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.110872,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.113436,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.11534,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.117705,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.119523,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.121209,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.123057,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.124815,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.126583,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.128057,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.129135,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.129135,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.129135,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.129135,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.129135,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.129135,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.129135,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.129135,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.129135,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.129535,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599765.130071,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.13194,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.133765,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.135253,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.137144,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599765.139685,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
